Brand Name,Parent Company,Type of Product,Type of Material,Layers,Total Count,City,Provinces,Time of Audit,Specifics of Audit
BENG BENG,MAYORA INDA,FOOD PACKAGING,LDPE,SINGLE LAYER,38,KENDARI,SOUTHEAST SULAWESI,2023-09-17,COAST/SHORELINE
TOP COFFEE,HARUM,FOOD PACKAGING,LDPE,SINGLE LAYER,76,KENDARI,SOUTHEAST SULAWESI,2023-09-17,COAST/SHORELINE
TORABIKA,MAYORA INDAH,FOOD PACKAGING,LDPE,SINGLE LAYER,1,KENDARI,SOUTHEAST SULAWESI,2023-09-17,COAST/SHORELINE
KAPAL API,SANTOS JAYA ABADI,FOOD PACKAGING,PET,MULTI LAYER,6,KENDARI,SOUTHEAST SULAWESI,2023-09-17,COAST/SHORELINE
ENERGEN,MAYORA INDAH,FOOD PACKAGING,PET,MULTI LAYER,8,KENDARI,SOUTHEAST SULAWESI,2023-09-17,COAST/SHORELINE
JIGGO,UNKNOWN,FOOD PACKAGING,PET,MULTI LAYER,1,KENDARI,SOUTHEAST SULAWESI,2023-09-17,COAST/SHORELINE
MAXI,CV MITRA INTI JAYA,FOOD PACKAGING,PET,SINGLE LAYER,10,KENDARI,SOUTHEAST SULAWESI,2023-09-17,COAST/SHORELINE
FRENCH FRIES 2000,SIANTAR TOP,FOOD PACKAGING,LDPE,SINGLE LAYER,1,KENDARI,SOUTHEAST SULAWESI,2023-09-17,COAST/SHORELINE
LT,TIRTA LOGAM TUNGGAL,FOOD PACKAGING,PET,SINGLE LAYER,5,KENDARI,SOUTHEAST SULAWESI,2023-09-17,COAST/SHORELINE
TEH PUCUK HARUM,MAYORA INDAH,FOOD PACKAGING,PET,SINGLE LAYER,5,KENDARI,SOUTHEAST SULAWESI,2023-09-17,COAST/SHORELINE
VIT,TIRTA INVESTAMA,FOOD PACKAGING,PET,SINGLE LAYER,5,KENDARI,SOUTHEAST SULAWESI,2023-09-17,COAST/SHORELINE
LE MINERALE,MAYORA INDAH,FOOD PACKAGING,PET,SINGLE LAYER,4,KENDARI,SOUTHEAST SULAWESI,2023-09-17,COAST/SHORELINE
MAXI,CV MITRA INTI JAYA,FOOD PACKAGING,PET,SINGLE LAYER,15,KENDARI,SOUTHEAST SULAWESI,2023-09-17,COAST/SHORELINE
ESSE,KOREA TOMORROW & GLOBAL CORPORATION,SMOKING MATERIAL,OTHERS,MULTI LAYER,1,KENDARI,SOUTHEAST SULAWESI,2023-09-17,COAST/SHORELINE
AQUA,DANONE,FOOD PACKAGING,PET,SINGLE LAYER,3,KENDARI,SOUTHEAST SULAWESI,2023-09-17,COAST/SHORELINE
NONGKRONG,WINGS FOOD,FOOD PACKAGING,PET,SINGLE LAYER,1,KENDARI,SOUTHEAST SULAWESI,2023-09-17,COAST/SHORELINE
GOLDA,WINGS,FOOD PACKAGING,PET,SINGLE LAYER,1,KENDARI,SOUTHEAST SULAWESI,2023-09-17,COAST/SHORELINE
FANTA,THE COCA-COLA COMPANY,FOOD PACKAGING,PET,SINGLE LAYER,1,KENDARI,SOUTHEAST SULAWESI,2023-09-17,COAST/SHORELINE
POP MIE,INDOFOOD,FOOD PACKAGING,PS,SINGLE LAYER,1,KENDARI,SOUTHEAST SULAWESI,2023-09-17,COAST/SHORELINE
LE MINERALE,MAYORA INDAH,FOOD PACKAGING,HDPE,SINGLE LAYER,38,KENDARI,SOUTHEAST SULAWESI,2023-09-17,COAST/SHORELINE
TEH PUCUK HARUM,MAYORA INDAH,FOOD PACKAGING,PET,SINGLE LAYER,4,KENDARI,SOUTHEAST SULAWESI,2023-09-17,COAST/SHORELINE
ORANGE WATER,DJOJONEGORO C-1000,FOOD PACKAGING,PET,SINGLE LAYER,2,KENDARI,SOUTHEAST SULAWESI,2023-09-17,COAST/SHORELINE
TICTAC,DUA KELINCI,FOOD PACKAGING,LDPE,SINGLE LAYER,17,KENDARI,SOUTHEAST SULAWESI,2023-09-17,COAST/SHORELINE
KUSUKA,CV ARIRA PANGINDO,FOOD PACKAGING,LDPE,SINGLE LAYER,4,KENDARI,SOUTHEAST SULAWESI,2023-09-17,COAST/SHORELINE
INDOMIE,INDOFOOD,FOOD PACKAGING,PP,SINGLE LAYER,2,KENDARI,SOUTHEAST SULAWESI,2023-09-17,COAST/SHORELINE
TANGO,TANGO,FOOD PACKAGING,LDPE,SINGLE LAYER,18,KENDARI,SOUTHEAST SULAWESI,2023-09-17,COAST/SHORELINE
MASAKO,AJINOMOTO,FOOD PACKAGING,LDPE,SINGLE LAYER,22,KENDARI,SOUTHEAST SULAWESI,2023-09-17,COAST/SHORELINE
ULTRA MILK,ULTRAJAYA,FOOD PACKAGING,HDPE,MULTI LAYER,8,KENDARI,SOUTHEAST SULAWESI,2023-09-17,COAST/SHORELINE
BON CABE,KOBE,FOOD PACKAGING,HDPE,SINGLE LAYER,3,KENDARI,SOUTHEAST SULAWESI,2023-09-17,COAST/SHORELINE
CHIKI,INDOFOOD,FOOD PACKAGING,LDPE,SINGLE LAYER,12,KENDARI,SOUTHEAST SULAWESI,2023-09-17,COAST/SHORELINE
LT,TIRTA LOGAM TUNGGAL,FOOD PACKAGING,PET,SINGLE LAYER,23,KENDARI,SOUTHEAST SULAWESI,2023-09-17,COAST/SHORELINE
MAXI,CV MITRA INTI JAYA,FOOD PACKAGING,PET,SINGLE LAYER,24,KENDARI,SOUTHEAST SULAWESI,2023-09-17,COAST/SHORELINE
NATION BOLD,PT PID ONGKOWIDJOJO,SMOKING MATERIAL,OTHERS,MULTI LAYER,1,KENDARI,SOUTHEAST SULAWESI,2023-09-17,COAST/SHORELINE
ICHITAN,ICHITAN GROUP,FOOD PACKAGING,PET,SINGLE LAYER,1,KENDARI,SOUTHEAST SULAWESI,2023-09-17,COAST/SHORELINE
SARI ROTI,NIPPON INDOSARI CORPINDO,FOOD PACKAGING,PP,SINGLE LAYER,7,KENDARI,SOUTHEAST SULAWESI,2023-09-17,COAST/SHORELINE
TEH BOTOL,SINAR SOSRO,FOOD PACKAGING,OTHERS,MULTI LAYER,11,KENDARI,SOUTHEAST SULAWESI,2023-09-17,COAST/SHORELINE
GARUDA,TUDUNG GROUP,FOOD PACKAGING,OTHERS,SINGLE LAYER,1,KENDARI,SOUTHEAST SULAWESI,2023-09-17,COAST/SHORELINE
TEH PUCUK HARUM,MAYORA INDAH,FOOD PACKAGING,PET,SINGLE LAYER,13,KENDARI,SOUTHEAST SULAWESI,2023-09-17,COAST/SHORELINE
TEH PUCUK HARUM,MAYORA INDAH,FOOD PACKAGING,PP,SINGLE LAYER,12,KENDARI,SOUTHEAST SULAWESI,2023-09-17,COAST/SHORELINE
GERRY,GARUDAFOOD,FOOD PACKAGING,OTHERS,SINGLE LAYER,17,KENDARI,SOUTHEAST SULAWESI,2023-09-17,COAST/SHORELINE
NABATI,NABATI GROUP.,FOOD PACKAGING,OTHERS,SINGLE LAYER,12,KENDARI,SOUTHEAST SULAWESI,2023-09-17,COAST/SHORELINE
COCA COLA,THE COCA-COLA COMPANY,FOOD PACKAGING,OTHERS,SINGLE LAYER,11,KENDARI,SOUTHEAST SULAWESI,2023-09-17,COAST/SHORELINE
NESCAFE,NESTLE,FOOD PACKAGING,OTHERS,SINGLE LAYER,1,KENDARI,SOUTHEAST SULAWESI,2023-09-17,COAST/SHORELINE
COCA COLA,THE COCA-COLA COMPANY,FOOD PACKAGING,PET,SINGLE LAYER,2,KENDARI,SOUTHEAST SULAWESI,2023-09-17,COAST/SHORELINE
MIZONE,DANONE,FOOD PACKAGING,PET,SINGLE LAYER,3,KENDARI,SOUTHEAST SULAWESI,2023-09-17,COAST/SHORELINE
CLUB,INDOFOOD,FOOD PACKAGING,PET,SINGLE LAYER,1,KENDARI,SOUTHEAST SULAWESI,2023-09-17,COAST/SHORELINE
TEBS,SINAR SOSRO,FOOD PACKAGING,PET,SINGLE LAYER,1,KENDARI,SOUTHEAST SULAWESI,2023-09-17,COAST/SHORELINE
GOOD DAY,BRITANIA INDUSTRIES LTD.,FOOD PACKAGING,PET,SINGLE LAYER,2,KENDARI,SOUTHEAST SULAWESI,2023-09-17,COAST/SHORELINE
NU MILK TEA,PT ABC PRESIDENT INDONESIA,FOOD PACKAGING,PET,SINGLE LAYER,1,KENDARI,SOUTHEAST SULAWESI,2023-09-17,COAST/SHORELINE
FRUIT TEA,SINAR SOSRO,FOOD PACKAGING,PET,SINGLE LAYER,2,KENDARI,SOUTHEAST SULAWESI,2023-09-17,COAST/SHORELINE
TEH PUCUK HARUM,MAYORA INDAH,FOOD PACKAGING,PET,SINGLE LAYER,2,KENDARI,SOUTHEAST SULAWESI,2023-09-17,COAST/SHORELINE
ICHITAN,ICHITAN GROUP,FOOD PACKAGING,PET,SINGLE LAYER,2,KENDARI,SOUTHEAST SULAWESI,2023-09-17,COAST/SHORELINE
ICHITAN,ICHITAN GROUP,FOOD PACKAGING,PP,SINGLE LAYER,2,KENDARI,SOUTHEAST SULAWESI,2023-09-17,COAST/SHORELINE
TEH GELAS,ORANG TUA,FOOD PACKAGING,PET,SINGLE LAYER,10,KENDARI,SOUTHEAST SULAWESI,2023-09-17,COAST/SHORELINE
CRYSTALLINE,ORANG TUA,FOOD PACKAGING,PET,SINGLE LAYER,30,KENDARI,SOUTHEAST SULAWESI,2023-09-17,COAST/SHORELINE
UNKNOWN,UNBRANDED,FOOD PACKAGING,PS,SINGLE LAYER,1,KENDARI,SOUTHEAST SULAWESI,2023-09-17,COAST/SHORELINE
CLEO,TANOBEL FOOD,FOOD PACKAGING,PET,SINGLE LAYER,5,KENDARI,SOUTHEAST SULAWESI,2023-09-17,COAST/SHORELINE
TEH PUCUK HARUM,MAYORA INDAH,FOOD PACKAGING,PET,SINGLE LAYER,1,KENDARI,SOUTHEAST SULAWESI,2023-09-17,COAST/SHORELINE
LT,TIRTA LOGAM TUNGGAL,FOOD PACKAGING,PET,SINGLE LAYER,15,KENDARI,SOUTHEAST SULAWESI,2023-09-17,COAST/SHORELINE
MAXI,CV MITRA INTI JAYA,FOOD PACKAGING,PET,SINGLE LAYER,30,KENDARI,SOUTHEAST SULAWESI,2023-09-17,COAST/SHORELINE
MOUNTEA,TUDUNG GROUP,FOOD PACKAGING,PET,SINGLE LAYER,5,KENDARI,SOUTHEAST SULAWESI,2023-09-17,COAST/SHORELINE
UNKNOWN,UNBRANDED,FOOD PACKAGING,PET,SINGLE LAYER,25,KENDARI,SOUTHEAST SULAWESI,2023-09-17,COAST/SHORELINE
GARNIER,L'OREAL,PERSONAL CARE,OTHERS,MULTI LAYER,1,KENDARI,SOUTHEAST SULAWESI,2023-09-17,COAST/SHORELINE
LT,TIRTA LOGAM TUNGGAL,FOOD PACKAGING,PET,SINGLE LAYER,5,KENDARI,SOUTHEAST SULAWESI,2023-09-17,COAST/SHORELINE
POP MIE,INDOFOOD,FOOD PACKAGING,PS,SINGLE LAYER,5,KENDARI,SOUTHEAST SULAWESI,2023-09-17,COAST/SHORELINE
LE MINERALE,MAYORA INDAH,FOOD PACKAGING,HDPE,SINGLE LAYER,34,KENDARI,SOUTHEAST SULAWESI,2023-09-17,COAST/SHORELINE
TEH PUCUK HARUM,MAYORA INDAH,FOOD PACKAGING,PET,SINGLE LAYER,13,KENDARI,SOUTHEAST SULAWESI,2023-09-17,COAST/SHORELINE
ORANGE WATER,DJOJONEGORO C-1000,FOOD PACKAGING,PET,SINGLE LAYER,1,KENDARI,SOUTHEAST SULAWESI,2023-09-17,COAST/SHORELINE
TICTAC,DUA KELINCI,FOOD PACKAGING,LDPE,SINGLE LAYER,19,KENDARI,SOUTHEAST SULAWESI,2023-09-17,COAST/SHORELINE
KUSUKA,CV ARIRA PANGINDO,FOOD PACKAGING,LDPE,SINGLE LAYER,1,KENDARI,SOUTHEAST SULAWESI,2023-09-17,COAST/SHORELINE
INDOMIE,INDOFOOD,FOOD PACKAGING,PP,SINGLE LAYER,1,KENDARI,SOUTHEAST SULAWESI,2023-09-17,COAST/SHORELINE
TANGO,TANGO,FOOD PACKAGING,LDPE,SINGLE LAYER,1,KENDARI,SOUTHEAST SULAWESI,2023-09-17,COAST/SHORELINE
ULTRA MILK,ULTRAJAYA,FOOD PACKAGING,LDPE,SINGLE LAYER,1,KENDARI,SOUTHEAST SULAWESI,2023-09-17,COAST/SHORELINE
BON CABE,KOBE,FOOD PACKAGING,HDPE,MULTI LAYER,1,KENDARI,SOUTHEAST SULAWESI,2023-09-17,COAST/SHORELINE
MAKKARAJA,UNKNOWN,FOOD PACKAGING,PET,SINGLE LAYER,1,KENDARI,SOUTHEAST SULAWESI,2023-09-17,COAST/SHORELINE
TOP COFFEE,HARUM,FOOD PACKAGING,LDPE,SINGLE LAYER,33,KENDARI,SOUTHEAST SULAWESI,2023-09-17,COAST/SHORELINE
LASEGAR,SINDE,FOOD PACKAGING,PET,SINGLE LAYER,1,KENDARI,SOUTHEAST SULAWESI,2023-09-17,COAST/SHORELINE
UNKNOWN,UNBRANDED,FOOD PACKAGING,LDPE,SINGLE LAYER,2,DENPASAR,BALI,2023-09-24,COAST/SHORELINE
AQUA,DANONE,FOOD PACKAGING,PET,SINGLE LAYER,3,DENPASAR,BALI,2023-09-24,COAST/SHORELINE
POCARI SWEAT,OTSUKA,FOOD PACKAGING,PET,SINGLE LAYER,2,DENPASAR,BALI,2023-09-24,COAST/SHORELINE
PURE LIFE,NESTLE,FOOD PACKAGING,PET,SINGLE LAYER,1,DENPASAR,BALI,2023-09-24,COAST/SHORELINE
MILKU,WINGS,FOOD PACKAGING,PET,SINGLE LAYER,1,DENPASAR,BALI,2023-09-24,COAST/SHORELINE
AQUA,DANONE,FOOD PACKAGING,PP,SINGLE LAYER,1,DENPASAR,BALI,2023-09-24,COAST/SHORELINE
KOPIKAP,PT TIRTA FRESINDO JAYA,FOOD PACKAGING,PP,SINGLE LAYER,1,DENPASAR,BALI,2023-09-24,COAST/SHORELINE
AQUA,DANONE,FOOD PACKAGING,PP,SINGLE LAYER,3,DENPASAR,BALI,2023-09-24,COAST/SHORELINE
PURE LIFE,NESTLE,FOOD PACKAGING,PP,SINGLE LAYER,1,DENPASAR,BALI,2023-09-24,COAST/SHORELINE
POCARI SWEAT,OTSUKA,FOOD PACKAGING,PP,SINGLE LAYER,2,DENPASAR,BALI,2023-09-24,COAST/SHORELINE
MILKU,WINGS,FOOD PACKAGING,PP,SINGLE LAYER,1,DENPASAR,BALI,2023-09-24,COAST/SHORELINE
AQUA,DANONE,FOOD PACKAGING,PET,SINGLE LAYER,3,DENPASAR,BALI,2023-09-24,COAST/SHORELINE
POCARI SWEAT,OTSUKA,FOOD PACKAGING,PET,SINGLE LAYER,2,DENPASAR,BALI,2023-09-24,COAST/SHORELINE
PURE LIFE,NESTLE,FOOD PACKAGING,PET,SINGLE LAYER,1,DENPASAR,BALI,2023-09-24,COAST/SHORELINE
MILKU,WINGS,FOOD PACKAGING,PET,SINGLE LAYER,2,DENPASAR,BALI,2023-09-24,COAST/SHORELINE
AQUA,DANONE,FOOD PACKAGING,PET,SINGLE LAYER,1,DENPASAR,BALI,2023-09-24,COAST/SHORELINE
TESSA,UNKNOWN,FOOD PACKAGING,PET,SINGLE LAYER,1,DENPASAR,BALI,2023-09-24,COAST/SHORELINE
UNKNOWN,UNBRANDED,FOOD PACKAGING,PET,SINGLE LAYER,279,DENPASAR,BALI,2023-09-24,COAST/SHORELINE
TEH GELAS,ORANG TUA,FOOD PACKAGING,PP,SINGLE LAYER,41,DENPASAR,BALI,2023-09-24,COAST/SHORELINE
ALE-ALE,WINGS,FOOD PACKAGING,PP,SINGLE LAYER,14,DENPASAR,BALI,2023-09-24,COAST/SHORELINE
TEH RIO,WINGS,FOOD PACKAGING,PS,SINGLE LAYER,1,DENPASAR,BALI,2023-09-24,COAST/SHORELINE
FONT AQUA,UNKNOWN,FOOD PACKAGING,PP,SINGLE LAYER,8,DENPASAR,BALI,2023-09-24,COAST/SHORELINE
TIRO,UNKNOWN,FOOD PACKAGING,PP,SINGLE LAYER,2,DENPASAR,BALI,2023-09-24,COAST/SHORELINE
AQUA,DANONE,FOOD PACKAGING,PP,SINGLE LAYER,133,DENPASAR,BALI,2023-09-24,COAST/SHORELINE
215,UNKNOWN,FOOD PACKAGING,PP,SINGLE LAYER,1,DENPASAR,BALI,2023-09-24,COAST/SHORELINE
LAVIS,UNKNOWN,FOOD PACKAGING,PP,SINGLE LAYER,3,DENPASAR,BALI,2023-09-24,COAST/SHORELINE
ANZI,CV. ANZI,FOOD PACKAGING,PP,SINGLE LAYER,1,DENPASAR,BALI,2023-09-24,COAST/SHORELINE
POLI,UNKNOWN,FOOD PACKAGING,PP,SINGLE LAYER,1,DENPASAR,BALI,2023-09-24,COAST/SHORELINE
FAIR & LOVELY,UNILEVER,PERSONAL CARE,OTHERS,SINGLE LAYER,1,DENPASAR,BALI,2023-09-24,COAST/SHORELINE
RJA,UNKNOWN,FOOD PACKAGING,PET,SINGLE LAYER,1,DENPASAR,BALI,2023-09-24,COAST/SHORELINE
PAPER CUP,UNBRANDED,FOOD PACKAGING,OTHERS,SINGLE LAYER,1,DENPASAR,BALI,2023-09-24,COAST/SHORELINE
YAKULT,YAKULT,FOOD PACKAGING,PET,SINGLE LAYER,13,DENPASAR,BALI,2023-09-24,COAST/SHORELINE
MOUNTEA,TUDUNG GROUP,FOOD PACKAGING,PP,SINGLE LAYER,4,DENPASAR,BALI,2023-09-24,COAST/SHORELINE
ROSE BRAND,CV BUMI WARAS,FOOD PACKAGING,PP,SINGLE LAYER,2,DENPASAR,BALI,2023-09-24,COAST/SHORELINE
SEDOTAN,UNKNOWN,FOOD PACKAGING,OTHERS,SINGLE LAYER,199,DENPASAR,BALI,2023-09-24,COAST/SHORELINE
CLEO,TANOBEL FOOD,FOOD PACKAGING,PET,SINGLE LAYER,25,DENPASAR,BALI,2023-09-24,COAST/SHORELINE
CLEO,TANOBEL FOOD,FOOD PACKAGING,PET,SINGLE LAYER,23,DENPASAR,BALI,2023-09-24,COAST/SHORELINE
ECOQUA,AIR GANGGA DEWATA ALAMI,FOOD PACKAGING,PP,SINGLE LAYER,3,DENPASAR,BALI,2023-09-24,COAST/SHORELINE
CFA,UNKNOWN,FOOD PACKAGING,PP,SINGLE LAYER,1,DENPASAR,BALI,2023-09-24,COAST/SHORELINE
AQUA,DANONE,FOOD PACKAGING,PET,SINGLE LAYER,18,DENPASAR,BALI,2023-09-24,COAST/SHORELINE
AQUA,DANONE,FOOD PACKAGING,PET,SINGLE LAYER,15,DENPASAR,BALI,2023-09-24,COAST/SHORELINE
TANPA MERK,UNKNOWN,FOOD PACKAGING,PET,SINGLE LAYER,2,DENPASAR,BALI,2023-09-24,COAST/SHORELINE
GEN KARANG ASEM,UNKNOWN,FOOD PACKAGING,PP,SINGLE LAYER,1,DENPASAR,BALI,2023-09-24,COAST/SHORELINE
JIMBARWANA,CV GANI LANGIT,FOOD PACKAGING,PP,SINGLE LAYER,1,DENPASAR,BALI,2023-09-24,COAST/SHORELINE
OKKY JELLY DRINK,TUDUNG GROUP,FOOD PACKAGING,PET,SINGLE LAYER,13,DENPASAR,BALI,2023-09-24,COAST/SHORELINE
VENNA,UNKNOWN,FOOD PACKAGING,PP,SINGLE LAYER,17,DENPASAR,BALI,2023-09-24,COAST/SHORELINE
KN,UNKNOWN,FOOD PACKAGING,OTHERS,SINGLE LAYER,2,DENPASAR,BALI,2023-09-24,COAST/SHORELINE
MJR,UNKNOWN,FOOD PACKAGING,PP,SINGLE LAYER,2,DENPASAR,BALI,2023-09-24,COAST/SHORELINE
ARGUS,ARGUS REZKY PRATAMA,FOOD PACKAGING,PP,SINGLE LAYER,6,DENPASAR,BALI,2023-09-24,COAST/SHORELINE
ECOQUA,AIR GANGGA DEWATA ALAMI,FOOD PACKAGING,PP,SINGLE LAYER,3,DENPASAR,BALI,2023-09-24,COAST/SHORELINE
HOLI,UNKNOWN,FOOD PACKAGING,PET,SINGLE LAYER,1,DENPASAR,BALI,2023-09-24,COAST/SHORELINE
ENO,GLAXOSMITHKLINE,FOOD PACKAGING,PET,SINGLE LAYER,1,DENPASAR,BALI,2023-09-24,COAST/SHORELINE
2E5,UNKNOWN,FOOD PACKAGING,PET,SINGLE LAYER,1,DENPASAR,BALI,2023-09-24,COAST/SHORELINE
AGRO,UNKNOWN,FOOD PACKAGING,PET,SINGLE LAYER,1,DENPASAR,BALI,2023-09-24,COAST/SHORELINE
UNKNOWN,UNBRANDED,FOOD PACKAGING,PET,SINGLE LAYER,1,DENPASAR,BALI,2023-09-24,COAST/SHORELINE
JIMBARWANA,CV GANI LANGIT,FOOD PACKAGING,PET,SINGLE LAYER,1,DENPASAR,BALI,2023-09-24,COAST/SHORELINE
LAM-LAM,UNKNOWN,FOOD PACKAGING,PP,SINGLE LAYER,1,DENPASAR,BALI,2023-09-24,COAST/SHORELINE
LE MINERALE,MAYORA INDAH,FOOD PACKAGING,PET,SINGLE LAYER,1,DENPASAR,BALI,2023-09-24,COAST/SHORELINE
LE MINERALE,MAYORA INDAH,FOOD PACKAGING,PET,SINGLE LAYER,1,DENPASAR,BALI,2023-09-24,COAST/SHORELINE
GIOZ,CV. TIRTA AMERTA,FOOD PACKAGING,PET,SINGLE LAYER,1,DENPASAR,BALI,2023-09-24,COAST/SHORELINE
GIOZ,CV. TIRTA AMERTA,FOOD PACKAGING,PET,SINGLE LAYER,1,DENPASAR,BALI,2023-09-24,COAST/SHORELINE
MILKUAT,INDOFOOD CBP SUKSES MAKMUR TBK,FOOD PACKAGING,HDPE,SINGLE LAYER,4,DENPASAR,BALI,2023-09-24,COAST/SHORELINE
MILKUAT,INDOFOOD CBP SUKSES MAKMUR TBK,FOOD PACKAGING,PET,SINGLE LAYER,4,DENPASAR,BALI,2023-09-24,COAST/SHORELINE
ISO,PT. JAYA UTAMA SANTIKAH,FOOD PACKAGING,PET,SINGLE LAYER,1,DENPASAR,BALI,2023-09-24,COAST/SHORELINE
TEH HIJAU,GUNUNG SUBUR SEJAHTERA,FOOD PACKAGING,PP,SINGLE LAYER,3,DENPASAR,BALI,2023-09-24,COAST/SHORELINE
MINGCOCO BIG,PT. ROCHA SINERGI PERSADA,FOOD PACKAGING,PP,SINGLE LAYER,1,DENPASAR,BALI,2023-09-24,COAST/SHORELINE
WALLS,UNILEVER,FOOD PACKAGING,PP,SINGLE LAYER,1,DENPASAR,BALI,2023-09-24,COAST/SHORELINE
BAYCLIN,PT. SYNERGI ANTAR NUSADA,FOOD PACKAGING,HDPE,SINGLE LAYER,1,DENPASAR,BALI,2023-09-24,COAST/SHORELINE
CIMORY,MOUNTAIN DAIRY,FOOD PACKAGING,HDPE,SINGLE LAYER,4,DENPASAR,BALI,2023-09-24,COAST/SHORELINE
CIMORY,MOUNTAIN DAIRY,FOOD PACKAGING,PET,SINGLE LAYER,4,DENPASAR,BALI,2023-09-24,COAST/SHORELINE
RED BELL,PT. VERRA INTER PANGAN,FOOD PACKAGING,HDPE,SINGLE LAYER,1,DENPASAR,BALI,2023-09-24,COAST/SHORELINE
VODAMIN,LOCAL BRAND,FOOD PACKAGING,PP,SINGLE LAYER,1,DENPASAR,BALI,2023-09-24,COAST/SHORELINE
CHILL GO,MORINAGA,FOOD PACKAGING,HDPE,SINGLE LAYER,1,DENPASAR,BALI,2023-09-24,COAST/SHORELINE
CHILL GO,MORINAGA,FOOD PACKAGING,PET,SINGLE LAYER,1,DENPASAR,BALI,2023-09-24,COAST/SHORELINE
AURA,TIPCO,FOOD PACKAGING,PET,SINGLE LAYER,1,DENPASAR,BALI,2023-09-24,COAST/SHORELINE
POWER F,WINGS,FOOD PACKAGING,PP,SINGLE LAYER,1,DENPASAR,BALI,2023-09-24,COAST/SHORELINE
PINO,MORINAGA,FOOD PACKAGING,PS,SINGLE LAYER,4,DENPASAR,BALI,2023-09-24,COAST/SHORELINE
YOYIC,YOYIC DAIRY,FOOD PACKAGING,PET,SINGLE LAYER,1,DENPASAR,BALI,2023-09-24,COAST/SHORELINE
YOYIC,YOYIC DAIRY,FOOD PACKAGING,PET,SINGLE LAYER,1,DENPASAR,BALI,2023-09-24,COAST/SHORELINE
PADDLE POP,UNILEVER,FOOD PACKAGING,PP,SINGLE LAYER,1,DENPASAR,BALI,2023-09-24,COAST/SHORELINE
NYAM NYAM,UNBRANDED,FOOD PACKAGING,PP,SINGLE LAYER,1,DENPASAR,BALI,2023-09-24,COAST/SHORELINE
VITA PUDDING,ORANG TUA,FOOD PACKAGING,PP,SINGLE LAYER,1,DENPASAR,BALI,2023-09-24,COAST/SHORELINE
UNKNOWN,UNBRANDED,PERSONAL CARE,PET,SINGLE LAYER,1,DENPASAR,BALI,2023-09-24,COAST/SHORELINE
MIXUE,PT. ZISHENG PACIFIC TRADING ,FOOD PACKAGING,PET,SINGLE LAYER,1,DENPASAR,BALI,2023-09-24,COAST/SHORELINE
VIAND,INDOFOOD,FOOD PACKAGING,PP,SINGLE LAYER,1,DENPASAR,BALI,2023-09-24,COAST/SHORELINE
GATSBY,MANDOM CORP.,PERSONAL CARE,HDPE,SINGLE LAYER,1,DENPASAR,BALI,2023-09-24,COAST/SHORELINE
UNKNOWN,UNBRANDED,PERSONAL CARE,HDPE,SINGLE LAYER,2,DENPASAR,BALI,2023-09-24,COAST/SHORELINE
UNKNOWN,UNBRANDED,FOOD PACKAGING,PET,SINGLE LAYER,1,DENPASAR,BALI,2023-09-24,COAST/SHORELINE
ELBEE CYPRESS,UNKNOWN,PERSONAL CARE,PET,SINGLE LAYER,1,DENPASAR,BALI,2023-09-24,COAST/SHORELINE
OUPONT,UNKNOWN,PERSONAL CARE,HDPE,SINGLE LAYER,1,DENPASAR,BALI,2023-09-24,COAST/SHORELINE
UNKNOWN,UNBRANDED,PERSONAL CARE,HDPE,SINGLE LAYER,7,DENPASAR,BALI,2023-09-24,COAST/SHORELINE
UNKNOWN,UNBRANDED,PERSONAL CARE,PET,SINGLE LAYER,3,DENPASAR,BALI,2023-09-24,COAST/SHORELINE
PANTENE,COLGATE-PALMOLIVE,PERSONAL CARE,HDPE,SINGLE LAYER,1,DENPASAR,BALI,2023-09-24,COAST/SHORELINE
EMINA,PARAGON,PERSONAL CARE,HDPE,SINGLE LAYER,1,DENPASAR,BALI,2023-09-24,COAST/SHORELINE
CHEERS,ATLANTIC BIRURAYA,FOOD PACKAGING,PET,SINGLE LAYER,2,DENPASAR,BALI,2023-09-24,COAST/SHORELINE
PEPSODENT,UNILEVER,PERSONAL CARE,HDPE,MULTI LAYER,1,DENPASAR,BALI,2023-09-24,COAST/SHORELINE
SUNSILK,UNILEVER,PERSONAL CARE,HDPE,MULTI LAYER,1,DENPASAR,BALI,2023-09-24,COAST/SHORELINE
KONICARE,PT. MURNI AIK SUKSES,PERSONAL CARE,PET,SINGLE LAYER,1,DENPASAR,BALI,2023-09-24,COAST/SHORELINE
KELLY,PT. KELLY INTERNATIONAL COSMETICS,PERSONAL CARE,HDPE,MULTI LAYER,1,DENPASAR,BALI,2023-09-24,COAST/SHORELINE
UNKNOWN,UNBRANDED,PERSONAL CARE,PET,SINGLE LAYER,1,DENPASAR,BALI,2023-09-24,COAST/SHORELINE
LIPSTIK,UNKNOWN,PERSONAL CARE,OTHERS,SINGLE LAYER,1,DENPASAR,BALI,2023-09-24,COAST/SHORELINE
LAJAR,UNKNOWN,PERSONAL CARE,PET,SINGLE LAYER,1,DENPASAR,BALI,2023-09-24,COAST/SHORELINE
NWO,UNKNOWN,PERSONAL CARE,PET,SINGLE LAYER,1,DENPASAR,BALI,2023-09-24,COAST/SHORELINE
CAPLANG,EAGLE INDO PHARMA,PERSONAL CARE,HDPE,SINGLE LAYER,1,DENPASAR,BALI,2023-09-24,COAST/SHORELINE
